date;stationID;typeflag
01/16/2024 20:47:09;1Live;start_of_ad
01/16/2024 20:47:09;BremenNext;end_of_ad
01/16/2024 20:47:22;1Live;end_of_ad
01/16/2024 20:47:27;BremenNext;start_of_ad
01/16/2024 20:47:31;1Live;start_of_ad
01/16/2024 20:47:50;1Live;end_of_ad
01/16/2024 20:48:06;BremenNext;end_of_ad
01/16/2024 20:48:11;BremenNext;start_of_ad
01/16/2024 20:48:24;BremenNext;end_of_ad
01/16/2024 20:48:27;1Live;start_of_ad
01/16/2024 20:48:42;BremenNext;start_of_ad
01/16/2024 20:48:45;1Live;end_of_ad
01/16/2024 20:48:49;1Live;start_of_ad
01/16/2024 20:49:00;BremenNext;end_of_ad
01/16/2024 20:49:17;1Live;end_of_ad
01/16/2024 20:49:18;BremenNext;start_of_ad
01/16/2024 20:49:26;1Live;start_of_ad
01/16/2024 20:49:40;BremenNext;end_of_ad
01/16/2024 20:49:49;1Live;end_of_ad
01/16/2024 20:49:49;BremenNext;start_of_ad
01/16/2024 20:49:58;1Live;start_of_ad
01/16/2024 20:50:02;BremenNext;end_of_ad
01/16/2024 20:50:07;Radio RST;start_of_ad
01/16/2024 20:50:09;WDR 2;start_of_ad
01/16/2024 20:50:14;BAYERN 1;start_of_ad
01/16/2024 20:50:16;Antenne AC;start_of_ad
01/16/2024 20:50:21;1Live;end_of_ad
01/16/2024 20:50:25;1Live;start_of_ad
01/16/2024 20:50:33;BremenNext;start_of_ad
01/16/2024 20:50:46;BremenNext;end_of_ad
01/16/2024 20:50:47;100,5;start_of_ad
01/16/2024 20:50:48;1Live;end_of_ad
01/16/2024 20:50:58;1Live;start_of_ad
01/16/2024 20:51:11;1Live;end_of_ad
01/16/2024 20:51:26;BremenNext;start_of_ad
01/16/2024 20:51:31;1Live;start_of_ad
01/16/2024 20:51:44;1Live;end_of_ad
01/16/2024 20:51:49;1Live;start_of_ad
01/16/2024 20:51:53;BremenNext;end_of_ad
01/16/2024 20:52:11;BremenNext;start_of_ad
01/16/2024 20:52:17;1Live;end_of_ad
01/16/2024 20:52:35;1Live;start_of_ad
01/16/2024 20:52:42;BremenNext;end_of_ad
01/16/2024 20:53:02;100,5;end_of_ad_artificial
01/16/2024 20:53:02;Radio RST;end_of_ad_artificial
01/16/2024 20:53:02;Antenne AC;end_of_ad_artificial
01/16/2024 20:53:03;WDR 2;end_of_ad_artificial
01/16/2024 20:53:03;1Live;end_of_ad
01/16/2024 20:53:04;BAYERN 1;end_of_ad_artificial
01/16/2024 20:53:17;BremenNext;start_of_ad
01/16/2024 20:53:31;BremenNext;end_of_ad
01/16/2024 20:53:35;1Live;start_of_ad
01/16/2024 20:53:58;1Live;end_of_ad
01/16/2024 20:54:07;BremenNext;start_of_ad
01/16/2024 20:54:11;1Live;start_of_ad
01/16/2024 20:54:39;1Live;end_of_ad
01/16/2024 20:54:58;1Live;start_of_ad
01/16/2024 20:55:11;1Live;end_of_ad
01/16/2024 20:55:34;1Live;start_of_ad
01/16/2024 20:55:53;1Live;end_of_ad
01/16/2024 20:56:02;1Live;start_of_ad
01/16/2024 20:56:34;1Live;end_of_ad
01/16/2024 20:56:38;BremenNext;end_of_ad
01/16/2024 20:56:38;1Live;start_of_ad
01/16/2024 20:57:06;1Live;end_of_ad
01/16/2024 20:57:10;1Live;start_of_ad
01/16/2024 20:57:35;BremenNext;start_of_ad
01/16/2024 20:57:47;1Live;end_of_ad
01/16/2024 20:57:51;1Live;start_of_ad
01/16/2024 20:58:06;Radio RST;start_of_ad
01/16/2024 20:58:14;1Live;end_of_ad
01/16/2024 20:58:15;100,5;start_of_ad
01/16/2024 20:58:15;Antenne AC;start_of_ad
01/16/2024 20:58:18;Radio RST;end_of_ad_artificial
01/16/2024 20:58:21;WDR 2;start_of_ad
01/16/2024 20:58:22;BAYERN 1;start_of_ad
01/16/2024 20:58:24;BremenNext;end_of_ad
01/16/2024 20:58:27;100,5;end_of_ad_artificial
01/16/2024 20:58:27;Antenne AC;end_of_ad_artificial
01/16/2024 20:58:32;1Live;start_of_ad
01/16/2024 20:58:33;WDR 2;end_of_ad_artificial
01/16/2024 20:58:34;BAYERN 1;end_of_ad_artificial
01/16/2024 20:58:38;BremenNext;start_of_ad
01/16/2024 20:58:51;1Live;end_of_ad
01/16/2024 20:58:58;1Live;start_of_ad
01/16/2024 20:59:11;1Live;end_of_ad
01/16/2024 20:59:13;BremenNext;end_of_ad
01/16/2024 20:59:16;1Live;start_of_ad
01/16/2024 20:59:18;BremenNext;start_of_ad
01/16/2024 20:59:44;BremenNext;end_of_ad
01/16/2024 21:00:02;1Live;end_of_ad
01/16/2024 21:00:07;1Live;start_of_ad
01/16/2024 21:00:11;BremenNext;start_of_ad
01/16/2024 21:00:25;BremenNext;end_of_ad
01/16/2024 21:00:25;1Live;end_of_ad
01/16/2024 21:00:29;BremenNext;start_of_ad
01/16/2024 21:00:30;1Live;start_of_ad
01/16/2024 21:00:44;1Live;end_of_ad
01/16/2024 21:00:49;1Live;start_of_ad
01/16/2024 21:00:55;BremenNext;end_of_ad
01/16/2024 21:01:00;BremenNext;start_of_ad
01/16/2024 21:01:16;1Live;end_of_ad
01/16/2024 21:01:39;1Live;start_of_ad
01/16/2024 21:02:15;1Live;end_of_ad
01/16/2024 21:02:19;1Live;start_of_ad
01/16/2024 21:02:20;BremenNext;end_of_ad
01/16/2024 21:02:37;BremenNext;start_of_ad
01/16/2024 21:02:38;1Live;end_of_ad
01/16/2024 21:02:51;BremenNext;end_of_ad
01/16/2024 21:02:55;BremenNext;start_of_ad
01/16/2024 21:02:56;1Live;start_of_ad
01/16/2024 21:03:18;BremenNext;end_of_ad
01/16/2024 21:03:19;1Live;end_of_ad
01/16/2024 21:03:23;Radio RST;start_of_ad
01/16/2024 21:03:27;BremenNext;start_of_ad
