date;stationName;typeflag
01/17/2024 14:57:39;BremenNext;start_of_ad
01/17/2024 15:10:50;Antenne AC;start_of_ad
01/17/2024 15:13:00;Antenne AC;end_of_ad_artificial
01/17/2024 15:14:04;Radio RST;start_of_ad
01/17/2024 15:17:03;Radio RST;end_of_ad_artificial
01/17/2024 15:26:53;Antenne AC;start_of_ad
01/17/2024 15:29:03;Antenne AC;end_of_ad_artificial
01/17/2024 15:50:39;100,5;start_of_ad
01/17/2024 15:53:02;100,5;end_of_ad_artificial
01/17/2024 15:54:35;Radio RST;start_of_ad
01/17/2024 15:54:51;Antenne AC;start_of_ad
01/17/2024 15:56:08;1Live;start_of_ad
01/17/2024 15:57:02;Antenne AC;end_of_ad_artificial
01/17/2024 15:57:03;Radio RST;end_of_ad_artificial
01/17/2024 15:57:25;1Live;end_of_ad
01/17/2024 16:21:17;BremenNext;end_of_ad
01/17/2024 16:21:39;100,5;start_of_ad
01/17/2024 16:22:51;BremenNext;start_of_ad
01/17/2024 16:24:02;100,5;end_of_ad_artificial
01/17/2024 16:26:04;Antenne AC;start_of_ad
01/17/2024 16:29:03;Antenne AC;end_of_ad_artificial
01/17/2024 16:53:33;Radio RST;start_of_ad
01/17/2024 16:53:50;Antenne AC;start_of_ad
01/17/2024 16:54:08;BremenNext;end_of_ad
01/17/2024 16:55:27;1Live;start_of_ad
01/17/2024 16:55:46;BremenNext;start_of_ad
01/17/2024 16:56:00;Antenne AC;end_of_ad_artificial
01/17/2024 16:56:01;Radio RST;end_of_ad_artificial
01/17/2024 16:57:57;1Live;end_of_ad
01/17/2024 17:23:48;BremenNext;end_of_ad
01/17/2024 17:24:05;100,5;start_of_ad
01/17/2024 17:25:21;BremenNext;start_of_ad
01/17/2024 17:26:30;Antenne AC;start_of_ad
01/17/2024 17:27:04;100,5;end_of_ad_artificial
01/17/2024 17:29:03;Antenne AC;end_of_ad_artificial
01/17/2024 17:50:24;100,5;start_of_ad
01/17/2024 17:52:30;BremenNext;end_of_ad
01/17/2024 17:52:35;BremenNext;start_of_ad
01/17/2024 17:53:00;100,5;end_of_ad_artificial
01/17/2024 17:54:17;BremenNext;end_of_ad
01/17/2024 17:54:49;1Live;start_of_ad
01/17/2024 17:55:06;Radio RST;start_of_ad
01/17/2024 17:55:22;Antenne AC;start_of_ad
01/17/2024 17:58:00;Radio RST;end_of_ad_artificial
01/17/2024 17:58:03;Antenne AC;end_of_ad_artificial
01/17/2024 18:17:55;BremenNext;start_of_ad
01/17/2024 18:18:44;BremenNext;end_of_ad
01/17/2024 18:26:09;Antenne AC;start_of_ad
01/17/2024 18:29:02;Antenne AC;end_of_ad_artificial
01/17/2024 18:30:41;100,5;start_of_ad
01/17/2024 18:33:00;100,5;end_of_ad_artificial
01/17/2024 18:44:49;BremenNext;start_of_ad
01/17/2024 18:54:39;Radio RST;start_of_ad
01/17/2024 18:55:13;Antenne AC;start_of_ad
01/17/2024 18:56:15;1Live;end_of_ad
01/17/2024 18:57:03;Radio RST;end_of_ad_artificial
01/17/2024 18:57:14;1Live;start_of_ad
01/17/2024 18:58:03;Antenne AC;end_of_ad_artificial
01/17/2024 19:23:31;Radio RST;start_of_ad
01/17/2024 19:26:03;Radio RST;end_of_ad_artificial
01/17/2024 19:26:47;Antenne AC;start_of_ad
01/17/2024 19:29:02;Antenne AC;end_of_ad_artificial
01/17/2024 19:57:03;Antenne AC;start_of_ad
01/18/2024 05:55:55;Radio RST;start_of_ad
01/18/2024 05:58:01;Radio RST;end_of_ad_artificial
01/18/2024 06:22:37;100,5;start_of_ad
